Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210127|DTD|6197|0|14824|Q,N
20210127|DTE|176890|125|365317|B,Q,N
20210127|DTEA|27677|528|115867|Q,N
20210127|DTEC|10308|0|16938|Q,N
20210127|DTF|1772|0|3889|Q
20210127|DTH|3191|0|28107|Q,N
20210127|DTIL|281199|83|621657|B,Q,N
20210127|DTJ|1199|0|3917|Q,N
20210127|DTLAp|297|0|297|Q
20210127|DTN|659|0|4705|Q,N
20210127|DTP|2264|500|111709|Q,N
20210127|DTSS|62941|100|210789|B,Q,N
20210127|DTW|6803|0|43292|Q,N
20210127|DTY|2171|0|3665|Q,N
20210127|DUC|7366|0|21860|B,Q
20210127|DUDE|63376|0|65317|Q,N
20210127|DUG|19613|1100|109356|Q,N
20210127|DUK|241039|1072|626775|B,Q,N
20210127|DUKB|13274|0|27035|Q,N
20210127|DUKH|9053|0|16624|Q,N
20210127|DUKpA|23885|2299|34304|Q,N
20210127|DUNEU|10665|0|108699|Q,N
20210127|DUO|28186|0|70312|B,Q,N
20210127|DUOT|5337|0|44018|B,Q,N
20210127|DURA|5233|0|6483|Q
20210127|DUSA|2575|0|5769|Q,N
20210127|DUSL|19651|801|78470|B,Q,N
20210127|DUST|624179|6551|1688484|B,Q,N
20210127|DVA|54842|16|130981|Q,N
20210127|DVAX|1164280|16079|2159080|B,Q,N
20210127|DVD|15498|159|130037|B,Q,N
20210127|DVLU|102|0|103|Q
20210127|DVN|1971215|1969|4474460|B,Q,N
20210127|DVOL|623|0|10801|Q
20210127|DVY|1104706|11801|1299670|Q,N
20210127|DVYA|305|0|637|Q
20210127|DVYE|69261|0|96714|Q,N
20210127|DWAS|41687|2471|51954|B,Q,N
20210127|DWAT|2|0|2|Q
20210127|DWAW|6168|0|11799|Q,N
20210127|DWFI|3075|0|19685|Q,N
20210127|DWIN/U|841|0|148220|Q
20210127|DWLD|20986|0|48604|Q,N
20210127|DWM|4530|0|15865|Q,N
20210127|DWMC|286|0|751|Q,N
20210127|DWMF|16|0|3213|Q
20210127|DWPP|181|0|437|Q
20210127|DWSH|10196|0|178164|B,Q,N
20210127|DWSN|6727|0|10573|B,Q,N
20210127|DWUS|8|0|26|Q
20210127|DWX|24149|0|35763|B,Q,N
20210127|DX|63041|0|144886|Q,N
20210127|DXC|166778|269|775992|Q,N
20210127|DXCM|111932|3|392381|B,Q,N
20210127|DXD|190803|15500|592389|B,Q,N
20210127|DXF|8028|140|84658|Q,N
20210127|DXGE|69|22|1065|Q
20210127|DXJ|22168|0|242808|Q,N
20210127|DXPE|9084|0|38528|Q,N
20210127|DXR|841|0|1641|Q,N
20210127|DXYN|22294|0|98375|Q,N
20210127|DXpB|4574|2500|7887|Q
20210127|DXpC|1474|0|3838|Q,N
20210127|DY|33101|0|104382|B,Q,N
20210127|DYAI|21451|55|51807|Q,N
20210127|DYFN|4802|0|6716|Q
20210127|DYHG|477|0|477|Q,N
20210127|DYN|110292|653|264970|Q,N
20210127|DYNF|154|0|173|Q,N
20210127|DYNT|73204|1000|179692|B,Q,N
20210127|DZSI|170289|69280|516446|B,Q,N
20210127|DZZ|545|0|1148|Q,N
20210127|E|45205|553|98192|B,Q,N
20210127|EA|319073|122|1459127|B,Q,N
20210127|EACPU|258360|0|456941|Q,N
20210127|EAD|34706|2022|58148|Q,N
20210127|EAF|207096|0|751830|Q,N
20210127|EAGG|68332|0|85113|Q,N
20210127|EAI|973|0|2728|Q
20210127|EAOA|540|0|551|Q
20210127|EAOK|3790|0|3895|B,Q,N
20210127|EAOM|784|0|789|Q
20210127|EAOR|101|0|204|Q
20210127|EAR|35664|2193|119922|B,Q,N
20210127|EARN|4164|0|9239|Q,N
20210127|EARS|108099|7316|555828|B,Q,N
20210127|EASG|178|0|246|Q
20210127|EAST|94694|0|229197|B,Q,N
20210127|EAT|417741|19837|1073694|B,Q,N
20210127|EB|91600|200|820279|B,Q,N
20210127|EBAY|766685|3868|3430557|B,Q,N
20210127|EBAYL|6401|0|15289|Q,N
20210127|EBC|192914|350|435433|B,Q,N
20210127|EBF|16430|0|29747|B,Q,N
20210127|EBIX|888853|4033|1542576|B,Q,N
20210127|EBIZ|29272|0|44394|Q,N
20210127|EBLU|2907|0|8052|B,Q,N
20210127|EBMT|5690|0|12947|B,Q,N
20210127|EBND|83767|0|124474|Q,N
20210127|EBON|288744|989|1447833|B,Q,N
20210127|EBR|218874|43937|720155|Q,N
20210127|EBR/B|9995|3219|26021|Q,N
20210127|EBS|76897|650|160919|B,Q,N
20210127|EBSB|13105|0|28725|Q,N
20210127|EBTC|7695|0|8554|Q,N
20210127|EC|552278|0|928917|B,Q,N
20210127|ECC|53212|0|96063|B,Q,N
20210127|ECCB|4408|0|6835|Q,N
20210127|ECCX|382|0|3784|Q
20210127|ECF|20477|0|34031|Q,N
